Country,Clicks,Impressions,CTR,Position
Haiti,1,156,0.64%,9.42
Bermuda,1,153,0.65%,28.18
St. Vincent & Grenadines,1,150,0.67%,13.41
Guinea,1,146,0.68%,6.36
Cape Verde,1,118,0.85%,12
British Virgin Islands,1,117,0.85%,31.38
Equatorial Guinea,1,110,0.91%,6.29
Mauritania,1,94,1.06%,8.88
Vanuatu,1,87,1.15%,8.15
Sint Maarten,1,70,1.43%,21.67
French Guiana,1,19,5.26%,8.05
Nauru,1,15,6.67%,33.07
Uruguay,0,1059,0%,15.05
Syria,0,642,0%,12.52
Belize,0,456,0%,11.9
Mozambique,0,419,0%,9.44
Gabon,0,347,0%,12.51
Mongolia,0,338,0%,14.95
Afghanistan,0,195,0%,10.17
Isle of Man,0,193,0%,7.53
Cayman Islands,0,189,0%,25.84
Bhutan,0,164,0%,7.46
Antigua & Barbuda,0,158,0%,9.92
Chad,0,135,0%,6.58
Tajikistan,0,113,0%,21.14
Curaçao,0,108,0%,11.01
U.S. Virgin Islands,0,105,0%,6.56
Dominica,0,102,0%,13.26
Suriname,0,93,0%,15.88
Andorra,0,88,0%,13.32
Aruba,0,78,0%,8.08
Gibraltar,0,72,0%,6.24
Burundi,0,66,0%,8.98
Samoa,0,65,0%,12.85
Turks & Caicos Islands,0,58,0%,10.76
American Samoa,0,58,0%,14.05
Réunion,0,46,0%,15.02
Guinea-Bissau,0,44,0%,12.27
Timor-Leste,0,38,0%,8.5
Turkmenistan,0,38,0%,11.11
Djibouti,0,35,0%,7.34
Tonga,0,34,0%,5.94
Monaco,0,33,0%,14.67
Kiribati,0,29,0%,11.17
Central African Republic,0,29,0%,19.69
Anguilla,0,29,0%,50.31
Micronesia,0,28,0%,15.32
Faroe Islands,0,27,0%,11.07
Eritrea,0,23,0%,5.43
North Korea,0,22,0%,7.82
Greenland,0,22,0%,21.41
French Polynesia,0,20,0%,9.5
Caribbean Netherlands,0,19,0%,11.58
Northern Mariana Islands,0,18,0%,5.89
New Caledonia,0,18,0%,11.28
Western Sahara,0,18,0%,19.89
Marshall Islands,0,16,0%,10.31
